#,Player,GS,MIN,FG MADE,FG_ATT,FG%,3PT MADE,3PT_ATT,3PT%,FT MADE,FT_ATT,FT%,PTS,ORB,DRB,REB,STL,BLK,A,TO,PF,Opponent,Date
23,Clara Robbins,*,17,2,5,0.4,0,0,0.0,2,2,1.0,6,3,3,6,2,2,2,1,2,College of Idaho,2024-12-06
10,Bridgette McIntyre,*,33,1,3,0.3333333333333333,1,2,0.5,0,0,0.0,3,0,4,4,1,0,1,2,3,College of Idaho,2024-12-06
13,Keeley Wright,-,12,3,3,1.0,0,0,0.0,0,2,0.0,6,0,2,2,0,0,1,1,1,College of Idaho,2024-12-06
32,Eliza DiGiulio,-,20,2,7,0.2857142857142857,1,4,0.25,0,0,0.0,5,2,2,4,0,1,2,2,2,College of Idaho,2024-12-06
33,Mallory Williams,-,4,1,3,0.3333333333333333,0,2,0.0,2,2,1.0,4,0,0,0,0,0,0,0,0,College of Idaho,2024-12-06
22,Sierra Scheppele,-,13,1,2,0.5,0,1,0.0,0,0,0.0,2,0,1,1,0,0,0,0,1,College of Idaho,2024-12-06
5,Makayla Scurlock,-,12,1,1,1.0,0,0,0.0,0,0,0.0,2,0,6,6,0,0,0,0,0,College of Idaho,2024-12-06
34,Shakia Teague-Perry,-,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,College of Idaho,2024-12-06
10,Bridgette McIntyre,*,33,8,11,0.7272727272727273,6,8,0.75,3,4,0.75,25,1,3,4,1,0,2,0,2,Eastern Oregon,2024-12-07
20,Morgan Baird,*,20,6,10,0.6,0,0,0.0,2,3,0.6666666666666666,14,2,2,4,0,0,0,3,4,Eastern Oregon,2024-12-07
1,Meghan McIntyre,*,34,1,6,0.16666666666666666,0,1,0.0,7,8,0.875,9,1,6,7,0,0,9,3,1,Eastern Oregon,2024-12-07
12,Emma Schmerbach,*,26,4,13,0.3076923076923077,0,2,0.0,0,0,0.0,8,1,3,4,1,0,1,0,2,Eastern Oregon,2024-12-07
