#,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Opponent,Date
32,Eliza DiGiulio,-,24,8-11,2-4,4-4,2-2,4,1,0,0,1,0,22,Hope International,11/21/24
13,Keeley Wright,-,10,2-3,0-0,1-4,0-1,1,1,2,2,0,1,5,Hope International,11/21/24
05,Makayla Scurlock,-,18,1-2,1-2,0-0,1-7,8,3,0,2,0,0,3,Hope International,11/21/24
21,Jenika Zurita,-,4,1-1,1-1,0-0,0-0,0,1,0,0,0,0,3,Hope International,11/21/24
33,Mallory Williams,-,9,1-3,0-2,0-0,0-3,3,2,1,0,0,0,2,Hope International,11/21/24
34,Shakia Teague-Perry,-,8,1-1,0-0,0-0,0-0,0,1,0,1,0,0,2,Hope International,11/21/24
01,Meghan McIntyre,*,34,9-12,2-3,1-1,1-3,4,1,4,1,0,0,21,Lewis-Clark State,02/15/25
12,Emma Schmerbach,*,27,7-12,2-2,1-2,2-7,9,4,2,2,0,1,17,Lewis-Clark State,02/15/25
10,Bridgette McIntyre,*,34,1-6,1-6,2-2,0-1,1,1,1,1,0,2,5,Lewis-Clark State,02/15/25
20,Morgan Baird,*,30,2-8,0-0,1-2,3-1,4,0,1,3,0,1,5,Lewis-Clark State,02/15/25
23,Clara Robbins,*,20,0-4,0-0,1-4,3-2,5,4,2,0,2,3,1,Lewis-Clark State,02/15/25
32,Eliza DiGiulio,-,23,3-8,0-0,0-0,1-0,1,0,2,3,0,1,6,Lewis-Clark State,02/15/25
05,Makayla Scurlock,-,11,2-3,0-1,0-0,1-5,6,3,0,1,0,0,4,Lewis-Clark State,02/15/25
33,Mallory Williams,-,9,1-1,0-0,0-0,0-3,3,1,0,1,1,0,2,Lewis-Clark State,02/15/25
13,Keeley Wright,-,6,0-1,0-0,0-0,0-1,1,2,0,0,0,0,0,Lewis-Clark State,02/15/25
22,Sierra Scheppele,-,6,0-1,0-1,0-0,0-0,0,2,1,0,0,0,0,Lewis-Clark State,02/15/25
20,Morgan Baird,*,29,9-17,0-1,6-9,4-3,7,2,2,3,1,1,24,Oregon Tech,02/18/25
1,Meghan McIntyre,*,35,6-13,1-2,3-6,1-4,5,2,6,2,0,1,16,Oregon Tech,02/18/25
12,Emma Schmerbach,*,37,2-10,0-2,4-6,2-6,8,3,4,1,0,2,8,Oregon Tech,02/18/25
10,Bridgette McIntyre,*,36,2-7,1-5,2-2,0-1,1,2,1,1,0,1,7,Oregon Tech,02/18/25
23,Clara Robbins,*,16,2-4,0-0,0-0,2-4,6,1,1,1,2,2,4,Oregon Tech,02/18/25
32,Eliza DiGiulio,-,20,3-6,2-3,3-4,1-0,1,2,0,1,0,2,11,Oregon Tech,02/18/25
